,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
121,2,2,8,1,2,99,2,4,4,5,5,13
122,3,1,8,4,2,5,1,5,5,5,3,15
123,2,1,5,4,3,9,99,5,1,5,5,11
124,3,2,6,4,4,5,2,2,1,1,97,4
125,4,1,1,3,1,9,2,1,1,1,5,3
126,6,2,2,3,3,3,2,2,5,1,3,8
127,4,1,6,4,2,5,1,5,5,5,5,15
128,5,2,3,4,3,5,1,1,3,4,5,8
129,3,2,6,4,3,99,99,5,1,1,97,7
130,3,1,6,1,3,99,99,2,4,4,5,10
131,3,2,6,3,3,9,2,2,4,1,5,7
132,4,1,4,2,1,9,2,4,1,1,5,6
133,4,2,6,1,3,9,2,4,5,1,5,10
134,3,2,6,4,3,5,99,4,2,3,3,9
135,3,1,6,1,2,9,2,4,2,4,5,10
136,4,2,3,4,4,5,1,2,1,5,5,8
137,4,1,2,2,2,99,2,5,5,1,5,11
138,6,1,1,4,3,99,99,5,1,5,3,11
139,5,1,3,1,3,3,1,2,5,4,8,11
140,5,1,2,3,1,99,99,1,4,1,5,6
141,3,2,9,1,3,9,2,4,4,4,5,12
142,3,2,7,3,3,5,1,4,4,4,3,12
143,2,1,7,1,4,9,2,4,5,5,5,14
144,2,1,7,1,2,9,2,2,1,5,5,8
145,3,1,6,1,3,9,2,1,1,5,3,7
146,3,1,7,1,3,9,2,2,1,5,96,8
147,5,1,8,1,3,3,2,1,1,5,7,7
148,5,1,6,1,2,9,2,4,1,2,3,7
149,4,1,6,1,2,9,2,5,5,5,5,15
150,5,2,6,3,2,9,2,2,2,1,97,5
151,6,2,6,1,3,5,1,5,5,5,3,15
152,4,2,6,1,4,5,2,5,1,2,5,8
153,3,2,4,1,3,9,2,5,4,2,3,11
154,2,1,4,4,1,9,2,5,1,5,3,11
155,7,1,0,4,4,5,1,5,2,1,3,8
156,5,2,4,3,1,9,2,1,5,4,3,10
157,4,1,7,1,2,9,2,5,5,1,5,11
158,4,2,6,1,3,9,2,5,5,4,5,14
159,6,2,8,4,2,9,2,5,4,5,5,14
160,7,1,1,3,3,9,2,5,5,5,5,15
161,2,2,7,3,1,10,99,5,3,5,98,13
